policy,K,principal_beta,assistant_beta,principal_eps,assistant_eps,answer_noise,rep_seed,episode_id,success,steps,questions_asked,regret,map_correct,episode_max_steps,failure_by_wrong_pick,failure_by_timeout,entropy_before_first_ask,entropy_after_first_ask,effective_goal_count_before,effective_goal_count_after,ig_of_first_asked_question
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,0,True,10,1,1.5,True,14,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,0.6365141682948128
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,1,True,6,1,1.5,True,10,False,False,1.0986122886681067,0.6931471805599433,3.0,2.0,0.6365141682948128
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,2,True,6,1,1.5,True,10,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,0.6365141682948128
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,3,True,11,0,3.0,True,13,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,4,True,10,1,1.5,True,14,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,1.0986122886681096
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,5,True,11,0,4.0,True,12,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,6,True,3,1,1.5,True,7,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,1.0986122886681096
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,7,True,4,1,1.5,True,8,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,1.0986122886681096
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,8,True,10,0,1.0,True,14,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,9,True,11,1,3.5,True,13,False,False,1.0986122886681067,0.6931471805599433,3.0,2.0,0.6365141682948128
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,10,True,6,1,1.5,True,10,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,1.0986122886681096
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,11,True,10,0,2.0,True,13,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,12,True,4,1,1.5,True,8,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,0.6365141682948128
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,13,False,9,1,5.5,True,9,False,True,1.0006596013591267,0.5568332974903064,2.5666556180481725,1.587308466223543,0.6833663238413239
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,14,True,14,1,2.5,True,17,False,False,1.0986122886681067,0.6931471805599433,3.0,2.0,0.6365141682948128
ask_or_act,3,1.0,2.0,0.05,0.05,0.0,0,15,True,13,1,2.5,True,16,False,False,1.0984510026847885,-1.110223024625156e-15,2.9990285541583455,1.0,1.0984510026847916
