policy,K,obs_horizon,condition,principal_beta,assistant_beta,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,0,matched,2.0,2.0,0,0,False,12,0,5.0,12.0
ask_or_act,3,0,matched,2.0,2.0,0,1,True,4,1,1.5,4.5
ask_or_act,3,0,matched,2.0,2.0,0,2,True,8,1,1.5,8.5
ask_or_act,3,0,matched,2.0,2.0,0,3,True,8,0,0.0,8.0
ask_or_act,3,0,matched,2.0,2.0,0,4,True,12,0,2.0,12.0
ask_or_act,3,0,matched,2.0,2.0,0,5,False,10,1,5.5,10.5
ask_or_act,3,0,matched,2.0,2.0,0,6,True,5,1,1.5,5.5
ask_or_act,3,0,matched,2.0,2.0,0,7,True,11,2,4.0,12.0
ask_or_act,3,0,matched,2.0,2.0,0,8,True,12,0,0.0,12.0
ask_or_act,3,0,matched,2.0,2.0,0,9,True,6,1,1.5,6.5
ask_or_act,3,0,matched,2.0,2.0,0,10,True,9,2,6.0,10.0
ask_or_act,3,0,matched,2.0,2.0,0,11,True,7,1,1.5,7.5
ask_or_act,3,0,matched,2.0,2.0,0,12,True,10,0,0.0,10.0
ask_or_act,3,0,matched,2.0,2.0,0,13,True,9,1,2.5,9.5
ask_or_act,3,0,matched,2.0,2.0,0,14,True,11,0,1.0,11.0
ask_or_act,3,0,matched,2.0,2.0,0,15,True,11,1,2.5,11.5
ask_or_act,3,0,matched,2.0,2.0,0,16,True,10,0,0.0,10.0
ask_or_act,3,0,matched,2.0,2.0,0,17,True,3,0,0.0,3.0
ask_or_act,3,0,matched,2.0,2.0,0,18,True,9,1,2.5,9.5
ask_or_act,3,0,matched,2.0,2.0,0,19,True,11,0,1.0,11.0
ask_or_act,3,0,matched,2.0,2.0,1,0,True,7,0,2.0,7.0
ask_or_act,3,0,matched,2.0,2.0,1,1,False,8,1,5.5,8.5
ask_or_act,3,0,matched,2.0,2.0,1,2,True,12,0,1.0,12.0
ask_or_act,3,0,matched,2.0,2.0,1,3,True,12,1,4.5,12.5
ask_or_act,3,0,matched,2.0,2.0,1,4,True,12,0,1.0,12.0
ask_or_act,3,0,matched,2.0,2.0,1,5,True,12,0,0.0,12.0
ask_or_act,3,0,matched,2.0,2.0,1,6,True,8,0,1.0,8.0
ask_or_act,3,0,matched,2.0,2.0,1,7,True,4,1,1.5,4.5
ask_or_act,3,0,matched,2.0,2.0,1,8,True,4,0,0.0,4.0
ask_or_act,3,0,matched,2.0,2.0,1,9,True,9,0,0.0,9.0
ask_or_act,3,0,matched,2.0,2.0,1,10,True,9,0,1.0,9.0
