policy,K,c_fail,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,0,0,0,True,9,0,0.0,9.0
ask_or_act,3,0,0,1,True,8,0,0.0,8.0
ask_or_act,3,0,0,2,True,8,0,5.0,8.0
ask_or_act,3,0,0,3,True,5,1,1.5,5.5
ask_or_act,3,0,0,4,False,9,1,5.5,9.5
ask_or_act,3,0,0,5,True,5,1,1.5,5.5
ask_or_act,3,0,0,6,True,7,0,0.0,7.0
ask_or_act,3,0,0,7,True,8,0,1.0,8.0
ask_or_act,3,0,0,8,True,2,0,0.0,2.0
ask_or_act,3,0,0,9,True,8,0,3.0,8.0
ask_or_act,3,0,0,10,True,4,1,1.5,4.5
ask_or_act,3,0,0,11,True,8,1,3.5,8.5
ask_or_act,3,0,0,12,True,7,0,0.0,7.0
ask_or_act,3,0,0,13,True,14,1,2.5,14.5
ask_or_act,3,0,0,14,True,8,1,1.5,8.5
ask_or_act,3,0,0,15,True,7,0,0.0,7.0
ask_or_act,3,0,0,16,True,5,1,3.5,5.5
ask_or_act,3,0,0,17,False,13,0,5.0,13.0
ask_or_act,3,0,0,18,True,9,1,1.5,9.5
ask_or_act,3,0,0,19,True,4,1,1.5,4.5
ask_or_act,3,0,1,0,True,12,1,2.5,12.5
ask_or_act,3,0,1,1,True,5,1,1.5,5.5
ask_or_act,3,0,1,2,True,8,1,1.5,8.5
ask_or_act,3,0,1,3,True,5,1,1.5,5.5
ask_or_act,3,0,1,4,True,10,1,1.5,10.5
ask_or_act,3,0,1,5,False,8,1,5.5,8.5
ask_or_act,3,0,1,6,True,9,1,1.5,9.5
ask_or_act,3,0,1,7,True,3,0,0.0,3.0
ask_or_act,3,0,1,8,True,11,0,4.0,11.0
ask_or_act,3,0,1,9,True,11,0,1.0,11.0
ask_or_act,3,0,1,10,True,10,1,1.5,10.5
ask_or_act,3,0,1,11,True,8,1,4.5,8.5
ask_or_act,3,0,1,12,True,4,1,1.5,4.5
ask_or_act,3,0,1,13,False,10,0,5.0,10.0
ask_or_act,3,0,1,14,True,12,2,4.0,13.0
ask_or_act,3,0,1,15,True,7,2,3.0,8.0
ask_or_act,3,0,1,16,True,8,1,1.5,8.5
ask_or_act,3,0,1,17,True,12,0,1.0,12.0
ask_or_act,3,0,1,18,True,12,1,3.5,12.5
ask_or_act,3,0,1,19,True,3,1,1.5,3.5
ask_or_act,3,0,2,0,False,17,1,5.5,17.5
ask_or_act,3,0,2,1,True,3,0,0.0,3.0
ask_or_act,3,0,2,2,True,11,1,1.5,11.5
ask_or_act,3,0,2,3,True,2,0,0.0,2.0
ask_or_act,3,0,2,4,True,6,1,2.5,6.5
ask_or_act,3,0,2,5,True,9,0,1.0,9.0
ask_or_act,3,0,2,6,True,4,0,0.0,4.0
ask_or_act,3,0,2,7,True,14,2,6.0,15.0
ask_or_act,3,0,2,8,True,8,1,1.5,8.5
ask_or_act,3,0,2,9,True,9,1,1.5,9.5
ask_or_act,3,0,2,10,True,4,0,2.0,4.0
ask_or_act,3,0,2,11,False,14,1,5.5,14.5
ask_or_act,3,0,2,12,True,11,1,2.5,11.5
ask_or_act,3,0,2,13,True,13,0,4.0,13.0
ask_or_act,3,0,2,14,True,2,0,0.0,2.0
ask_or_act,3,0,2,15,True,10,0,1.0,10.0
ask_or_act,3,0,2,16,True,8,0,0.0,8.0
ask_or_act,3,0,2,17,True,3,0,0.0,3.0
ask_or_act,3,0,2,18,True,3,1,1.5,3.5
ask_or_act,3,0,2,19,True,11,0,2.0,11.0
ask_or_act,3,0,3,0,True,5,0,0.0,5.0
ask_or_act,3,0,3,1,True,8,0,1.0,8.0
ask_or_act,3,0,3,2,True,10,0,2.0,10.0
ask_or_act,3,0,3,3,True,7,1,1.5,7.5
ask_or_act,3,0,3,4,True,8,0,1.0,8.0
